https://en.wikipedia.org/wiki/Elon_Musk,633,0,212,10,855
https://en.wikipedia.org/wiki/Nikola_Tesla,0,0,663,0,663
https://en.wikipedia.org/wiki/Tesla_Model_3,47,0,388,5,440
https://en.wikipedia.org/wiki/Tesla_US_dealership_disputes,5,0,218,1,224
https://en.wikipedia.org/wiki/Tesla_Solar_Roof,43,0,129,11,183
https://cleantechnica.com/2017/09/07/solar-roof-tile-production-teslas-buffalo-facility-now-running,3,0,27,4,34
https://www.theguardian.com/technology/2018/jul/15/elon-musk-british-diver-thai-cave-rescue-pedo-twitter,23,0,8,0,31
https://az.wikipedia.org/wiki/%C4%B0lon_Mask,8,1,17,0,26
https://de.wikipedia.org/wiki/Infanteriegewehr_Modell_1723,23,0,0,0,23
https://en.wikipedia.org/wiki/PayPal,16,0,4,0,20
